[2024-07-03 00:14:44] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-03 00:15:02] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\midnight\colors.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/midnight/colors.css
[2024-07-03 00:15:02] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\midnight\colors.min.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/midnight/colors.min.css
[2024-07-03 00:15:02] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\midnight\colors.scss to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/midnight/colors.scss
[2024-07-03 00:15:02] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\modern\colors-rtl.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/modern/colors-rtl.css
[2024-07-03 00:15:02] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\modern\colors-rtl.min.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/modern/colors-rtl.min.css
[2024-07-03 00:15:02] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\modern\colors.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/modern/colors.css
[2024-07-03 00:15:03] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\modern\colors.min.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/modern/colors.min.css
[2024-07-03 00:15:03] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\modern\colors.scss to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/modern/colors.scss
[2024-07-03 00:15:03] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\ocean\colors-rtl.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/ocean/colors-rtl.css
[2024-07-03 00:15:03] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\wp-admin\css\colors\ocean\colors-rtl.min.css to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/wp-admin/css/colors/ocean/colors-rtl.min.css
